# JOBID user submit start end cores
37463 albertog 1378304672 1378304679 1378305162 6
37495 albertog 1378305736 1378305743 1378305885 6
37514 albertog 1378306046 1378306049 1378306188 6
37579 albertog 1378307743 1378307750 1378314830 6
53190 arodrig 1257260503 1257260512 1257260677 4
53192 arodrig 1257260890 1257260903 1257261097 4
53194 arodrig 1257261146 1257261159 1257261326 4
53355 arodrig 1257267002 1257267009 1257267210 4
53376 arodrig 1257268468 1257268472 1257268564 4
53382 arodrig 1257268852 1257268857 1257269075 4
53714 arodrig 1257325398 1257325405 1257325956 4
53721 arodrig 1257327470 1257327475 1257327631 8
53722 arodrig 1257327645 1257327688 1257327818 8
53723 arodrig 1257327880 1257327896 1257328994 8
53786 arodrig 1257330125 1257330130 1257330425 8
53787 arodrig 1257330346 1257330388 1257330464 8
53792 arodrig 1257331237 1257331240 1257331303 8
53794 arodrig 1257331436 1257331451 1257331601 8
53795 arodrig 1257331605 1257331649 1257331952 8
53798 arodrig 1257331997 1257332005 1257332269 8
53799 arodrig 1257332156 1257332203 1257332306 8
53800 arodrig 1257332311 1257332320 1257332511 8
53837 arodrig 1257333561 1257333576 1257334027 3
53868 arodrig 1257335426 1257335438 1257335499 3
53869 arodrig 1257335725 1257335738 1257336031 3
53870 arodrig 1257336036 1257336038 1257336190 3
53871 arodrig 1257336156 1257336193 1257336377 3
53872 arodrig 1257336394 1257336398 1257336565 3
53873 arodrig 1257336789 1257336803 1257337297 3
54735 arodrig 1257338555 1257338558 1257338738 3
54736 arodrig 1257338757 1257338768 1257338830 3
54737 arodrig 1257338918 1257338919 1257339010 3
54874 arodrig 1257346838 1257346847 1257347118 3
54916 arodrig 1257348867 1257348873 1257349262 3
54918 arodrig 1257349268 1257349278 1257349653 3
55236 arodrig 1257349913 1257349923 1257350003 3
55392 arodrig 1257350093 1257350103 1257350203 6
55393 arodrig 1257350228 1257350238 1257350564 6
55394 arodrig 1257350572 1257350617 1257351838 6
55400 arodrig 1257351811 1257351813 1257351885 6
55403 arodrig 1257352295 1257352308 1257352473 6
55405 arodrig 1257352677 1257352684 1257352793 6
55533 arodrig 1257353023 1257353028 1257353112 6
55843 arodrig 1257353164 1257353178 1257353352 6
55847 arodrig 1257353684 1257353689 1257353937 12
55851 arodrig 1257353988 1257354003 1257354724 12
55865 arodrig 1257354791 1257354798 1257355113 12
55874 arodrig 1257355830 1257355833 1257355928 12
55876 arodrig 1257355985 1257355998 1257356125 12
55879 arodrig 1257356770 1257356779 1257356858 12
55880 arodrig 1257356936 1257356943 1257357100 12
58356 arodrig 1257505154 1257505203 1257505315 2
58368 arodrig 1257505362 1257505413 1257505749 2
58386 arodrig 1257505944 1257505998 1257506119 2
58397 arodrig 1257506258 1257506314 1257506555 2
58421 arodrig 1257507077 1257507125 1257507203 2
58440 arodrig 1257507374 1257507434 1257507938 2
58472 arodrig 1257508772 1257508820 1257509120 2
58480 arodrig 1257509280 1257509329 1257509393 2
58481 arodrig 1257509353 1257509404 1257509601 2
58692 arodrig 1257512966 1257513020 1257513128 2
58988 arodrig 1257529646 1257529701 1257530253 2
62718 arodrig 1257758408 1257758474 1257759066 2
62728 arodrig 1257759026 1257759104 1257759340 2
62733 arodrig 1257759300 1257759374 1257759571 2
62739 arodrig 1257759554 1257759630 1257759971 4
62746 arodrig 1257759932 1257760004 1257760071 4
62747 arodrig 1257760023 1257760094 1257760589 4
62750 arodrig 1257760600 1257760664 1257760752 4
62751 arodrig 1257760727 1257760799 1257762391 4
62758 arodrig 1257762473 1257762539 1257762767 4
62759 arodrig 1257762543 1257762551 1257762712 4
62762 arodrig 1257762739 1257762809 1257762991 4
62766 arodrig 1257763116 1257763184 1257764985 4
62770 arodrig 1257763417 1257763421 1257763661 4
62775 arodrig 1257763764 1257763766 1257763996 4
62780 arodrig 1257764060 1257764068 1257764247 4
62785 arodrig 1257764386 1257764396 1257764646 4
62787 arodrig 1257764680 1257764681 1257765171 4
62790 arodrig 1257765197 1257765270 1257765585 4
62810 arodrig 1257765690 1257765764 1257765980 2
62813 arodrig 1257766051 1257766124 1257767925 2
62814 arodrig 1257766352 1257766425 1257768225 2
62816 arodrig 1257766626 1257766631 1257766807 2
62846 arodrig 1257767370 1257767381 1257767457 2
62859 arodrig 1257767634 1257767636 1257767711 2
62861 arodrig 1257767929 1257767999 1257768094 2
62863 arodrig 1257768224 1257768299 1257768374 2
62869 arodrig 1257768550 1257768614 1257768679 2
62883 arodrig 1257768706 1257768779 1257770580 2
62936 arodrig 1257769584 1257769650 1257769725 2
62944 arodrig 1257769723 1257769800 1257769894 2
62960 arodrig 1257769908 1257769980 1257770055 2
62980 arodrig 1257770314 1257770385 1257770490 2
62989 arodrig 1257770507 1257770581 1257770776 2
63156 arodrig 1257778259 1257778335 1257778561 2
63157 arodrig 1257778347 1257778426 1257778561 2
63158 arodrig 1257778619 1257778695 1257779552 2
63159 arodrig 1257778731 1257778801 1257779578 2
63160 arodrig 1257778889 1257778901 1257779487 2
63161 arodrig 1257778971 1257782579 1257783114 2
63162 arodrig 1257779664 1257779732 1257780478 2
